"concept"
"us-gaap_NetIncomeLoss"
"us-gaap_DepreciationDepletionAndAmortization"
"us-gaap_ShareBasedCompensation"
"see_ProfitSharingExpense"
"us-gaap_GainsLossesOnExtinguishmentOfDebt"
"us-gaap_ProvisionForDoubtfulAccounts"
"us-gaap_InventoryWriteDown"
"us-gaap_DeferredIncomeTaxExpenseBenefit"
"us-gaap_GainLossOnSaleOfBusiness"
"see_EquitySecuritiesWithoutReadilyDeterminableFairValueGainLoss"
"us-gaap_OtherNoncashIncomeExpense"
"us-gaap_IncreaseDecreaseInAccountsReceivable"
"us-gaap_IncreaseDecreaseInInventories"
"us-gaap_IncreaseDecreaseInAccountsPayable"
"us-gaap_IncreaseDecreaseInContractWithCustomerLiability"
"us-gaap_IncreaseDecreaseInIncomeTaxesReceivable"
"us-gaap_IncreaseDecreaseInOtherOperatingCapitalNet"
"us-gaap_NetCashProvidedByUsedInOperatingActivities"
"us-gaap_PaymentsToAcquirePropertyPlantAndEquipment"
"see_ProceedsfromDivestitureofBusinessandPropertyPlantandEquipmentNet"
"us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired"
"us-gaap_PaymentsToAcquireInvestments"
"us-gaap_PaymentsForProceedsFromDerivativeInstrumentInvestingActivities"
"us-gaap_NetCashProvidedByUsedInInvestingActivities"
"us-gaap_ProceedsFromRepaymentsOfShortTermDebt"
"us-gaap_ProceedsFromIssuanceOfLongTermDebt"
"us-gaap_RepaymentsOfLongTermDebt"
"us-gaap_PaymentsOfDebtExtinguishmentCosts"
"us-gaap_PaymentsOfDividendsCommonStock"
"us-gaap_PaymentsRelatedToTaxWithholdingForShareBasedCompensation"
"us-gaap_PaymentsForRepurchaseOfCommonStock"
"us-gaap_FinanceLeasePrincipalPayments"
"us-gaap_NetCashProvidedByUsedInFinancingActivities"
"us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents"
"us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect"
"us-gaap_InterestPaidNet"
"us-gaap_IncomeTaxesPaidNet"
"see_RestructuringPaymentsIncludingAssociatedCosts"
"us-gaap_StockIssued1"
"us-gaap_ProceedsFromLifeInsurancePolicies"
"us-gaap_EquitySecuritiesWithoutReadilyDeterminableFairValueImpairmentLossAnnualAmount"
"us-gaap_EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentAnnualAmount"
"us-gaap_PaymentsForProceedsFromOtherInvestingActivities"
"us-gaap_EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount"
"us-gaap_ProceedsFromSaleAndMaturityOfMarketableSecurities"
"us-gaap_ProceedsFromPaymentsForOtherFinancingActivities"
"see_GainLossOnSaleOfBusinessIncludesTransactionCosts"
"see_PaymentsForProceedsFromDivestitureOfBusinessAndPropertyPlantAndEquipmentNet"
"us-gaap_PaymentsForProceedsFromInvestments"
"see_PaymentsRelatedtoDivestitureofBusinesses"
"us-gaap_ProceedsFromDivestitureOfBusinessesNetOfCashDivested"
"us-gaap_ProceedsFromDerivativeInstrumentFinancingActivities"
"see_CashCashEquivalentsRestrictedCashandRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect"
"see_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents"
"see_ForeignCurrencyCumulativeTranslationGainLossRecognizedInEarningsUponCeasingForeignOperations"
"see_ForeignCurrencyRemeasurementGainLoss"
"see_PaymentOfStockAppreciationRights"
"us-gaap_CashAndCashEquivalentsPeriodIncreaseDecrease"
"us-gaap_EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations"
"us-gaap_ForeignCurrencyTransactionGainLossBeforeTax"
"us-gaap_NetCashProvidedByUsedInFinancingActivitiesContinuingOperations"
"us-gaap_NetCashProvidedByUsedInInvestingActivitiesContinuingOperations"
"us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations"
"us-gaap_ProceedsFromRepaymentsOfRestrictedCashFinancingActivities"
"us-gaap_DepreciationAndAmortization"
"us-gaap_DeferredIncomeTaxesAndTaxCredits"
"us-gaap_ProceedsFromDivestitureOfBusinesses"
"us-gaap_ProceedsFromSaleOfProductiveAssets"
"us-gaap_EffectOfExchangeRateOnCashAndCashEquivalents"
"see_PaymentsForDebtExtinguishmentAndIssuanceCosts"
"us-gaap_ExcessTaxBenefitFromShareBasedCompensationOperatingActivities"
"see_ExcessTaxExpenseBenefitFromShareBasedCompensationFinancingActivities"
"see_ForeignCurrencyRemeasurementLoss"
