concept,standard name
us-gaap_AccountsAndOtherReceivablesNetCurrent,
us-gaap_AccountsReceivableNetNoncurrent,
AccountsAndOtherReceivablesNetCurrent,
us-gaap_AccountsNotesAndLoansReceivableNetCurrent,
AccountsNotesAndLoansReceivableNetCurrent,
us-gaap_AllowanceForDoubtfulAccountsReceivable,
us-gaap_UnbilledContractsReceivable,
UnbilledContractsReceivable,
us-gaap_BilledContractReceivables,
us-gaap_IncomeTaxesReceivableNoncurrent,
rmax_AmountsPayableUnderTaxReceivableAgreementsCurrent,
rmax_AmountsPayableUnderTaxReceivableAgreementsNoncurrent,
rmax:AmountsPayableUnderTaxReceivableAgreementsCurrent,
rmax:AmountsPayableUnderTaxReceivableAgreementsNoncurrent,
us-gaap_AccountsReceivableRelatedPartiesCurrent,
us-gaap_ContractReceivableRetainage,
us-gaap_NotesAndLoansReceivableNetNoncurrent,
us-gaap_GrantsReceivableNoncurrent,
AccountsReceivableNet,
rxst_TemporaryEquityNoteReceivablesCommonStockIssued,
rxst_NotesReceivableCommonStockIssued,
us-gaap_ReceivablesFromCustomers,
us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,
ReceivablesFromCustomers,
NotesReceivableNet,
us-gaap_LoansAndLeasesReceivableNetReportedAmount,
us-gaap_ReceivablesFromBrokersDealersAndClearingOrganizations,
ReceivablesFromBrokersDealersAndClearingOrganizations,
LoansAndLeasesReceivableNetReportedAmount,
LoansReceivableHeldForSaleNet,
schw:ReceivablesFromBrokerageClients,
us-gaap_LoansReceivableHeldForSaleNet,
schw_ReceivablesFromBrokerageClients,
us-gaap_OtherReceivables,
us-gaap_LoansReceivableHeldForSaleNetNotPartOfDisposalGroup,
FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,
OtherReceivables,
LoansReceivableHeldForSaleNetNotPartOfDisposalGroup,
ms_Receivables,
ms:Receivables,
AccruedFeesAndOtherRevenueReceivable,
NotesAndLoansReceivableNetNoncurrent,
us-gaap_AccountsReceivableNet,
us-gaap_AccruedFeesAndOtherRevenueReceivable,
cdtx_AccountsReceivablePrepaidExpensesAndOtherAssetsCurrent,
fsr_ReceivableForStockIssuance,
fsr_ReceivableForWarrantExercises,
us-gaap_NotesReceivableRelatedPartiesCurrent,
PremiumsReceivableAtCarryingValue,
AccruedInvestmentIncomeReceivable,
usm_ReceivablesNetCurrentRoaming,
usm:ReceivablesNetCurrentRoaming,
ABML_SubscriptionReceivable,
ABML_CommonStockProceedsReceivable,
us-gaap_GrantsReceivableCurrent,
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,
us-gaap_CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,
avah_ReceivablesUnderInsuredProgramsCurrent,
avah_ReceivablesUnderInsuredProgramsNoncurrent,
AccountsReceivableNetNoncurrent,
cat_LongTermReceivablesFinanceNoncurrent,
cat_ReceivablesFinanceCurrent,
cat:ReceivablesFinanceCurrent,
cat:LongTermReceivablesFinanceNoncurrent,
cat_LongTermReceivablesFinance,
cat_ReceivablesFinance,
nuvb_InterestReceivableOnMarketableSecuritiesCurrent,
nuvb:InterestReceivableOnMarketableSecuritiesCurrent,
beam_CollaborationReceivableCurrent,
IncomeTaxesReceivableNoncurrent,
us-gaap_ReceivablesLongTermContractsOrPrograms,
bld:NotesReceivableTrade,
sum_TaxReceivableAgreementLiability,
sum:TaxReceivableAgreementLiability,
us-gaap_NotesAndLoansReceivableGrossCurrent,
ezpw_PawnServiceChargesReceivableNet,
ezpw:PawnServiceChargesReceivableNet,
us-gaap_IncomeTaxReceivable,
ezpw_ConsumerLoanFeesReceivableNet,
ezpw_LoansReceivableNetReportedAmountConsumerNonCurrent,
us-gaap_LoansAndLeasesReceivableNetReportedAmountConsumer,
ezpw_LoansAndLeasesReceivableNetReportedAmountConsumerNonCurrent,
LoansAndLeasesReceivableNetReportedAmountConsumer,
ezpw:ConsumerLoanFeesReceivableNet,
ezpw:LoansAndLeasesReceivableNetReportedAmountConsumerNonCurrent,
ezpw:ConsumerLoansFeesReceivableNet,
ezpw:SignatureLoanFeesReceivableNet,
ezpw:AutoTitleLoanFeesReceivableNet,
ezpw_AutoTitleLoanFeesReceivableNet,
ezpw_ServiceChargesReceivableNet,
ezpw_SignatureLoanFeesReceivableNet,
phun_FactoredReceivablesPayable,
phun:FactoredReceivablesPayable,
us-gaap_NotesReceivableNet,
nni_InvestmentsAndNotesReceivable,
us-gaap_AccountsReceivableNet,
nni_InvestmentsAndNotesReceivables,
us-gaap_InterestReceivable,
NotesReceivableNet,
nni:InvestmentsAndNotesReceivables,
InterestReceivable,
AccountsReceivableNet,
nni_InvestmentsAndOtherReceivables,
us-gaap_LoansReceivableHeldForSaleAmount,
FinancingReceivable,
ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,
LoansReceivableHeldForSaleAmount,
us-gaap_AccountsReceivableNetCurrent,
AccountsReceivableNetCurrent,
us-gaap_NotesAndLoansReceivableNetCurrent,
cvco_CommercialLoansReceivableCurrent,
